34250,31336,-0.02
30419,28573,-0.03
27307,26872,-0.06
25845,25095,-0.07
26657,25889,-0.02
24427,25388,0
155,137,-0.12
31,41,-0.1
1237,1207,-0.1
1259,1176,0.02
1137,1107,-0.06
891,857,-0.07
1000,953,-0.11
1122,1087,-0.15
959,858,-0.02
377,419,-0.13
1953,2001,-0.11
476,529,-0.32
304,331,-0.16
351,389,-0.28
369,378,-0.09
472,465,-0.38
411,402,-0.07
283,329,-0.14
224,275,-0.08
374,367,-0.18
553,540,0.09
1316,1228,0.04
280,277,-0.12
229,228,-0.23
224,212,-0.45
217,207,-0.07
379,332,-0.15
278,314,-0.1
188,227,-0.3
112,132,0.04
2507,2425,-0.09
3649,3377,-0.03
7486,7353,0.01
2035,1925,-0.11
1266,1175,-0.06
1402,1279,-0.32
1547,1429,-0.08
2178,1967,-0.35
2010,1947,-0.08
1646,1748,-0.32
1121,1170,0.05
65,79,-0.43
15465,15462,0.02
14504,14722,-0.02
15009,14919,0.06
71,63,0.04
108,97,0.23
7000,6900,-0.11
7000,7350,-0.08
6400,6750,0
5350,5800,0.03
5000,5350,0.13
29,31,-0.59
33,27,0.15
34,26,-0.09
45,45,0.81
1053,962,0.14
962,1131,0.38
67,63,-0.35
3610,4226,0.21
2306,2807,0.27
80,80,0.06
80,80,-0.11
80,80,-0.18
80,80,-0.09
80,80,-0.15
80,80,-0.21
80,80,0
80,80,-0.66
80,80,-0.03
203,203,0.3
206,225,-0.05
223,260,-0.11
194,219,0.23
181,169,0.35
199,167,0.41
70,34,0.22
1211,1923,0.29
155,151,0.28
207,200,0.27
512,562,0.49
1120,1612,0.18
864,950,0.33
65,54,0.2
1773,1750,0.17
4791,4791,0.06
195,196,-0.25
324,301,-0.13
324,272,-0.12
45,36,-0.28
40,40,-0.01
4623,4712,0
5088,5152,0
5085,5148,0
4497,4875,-0.04
40,40,0.02
40,40,0.67
366,347,0.1
107,133,-0.06
50,46,-0.06
36,43,-0.47
52,53,-0.21
46,52,0.2
48,45,-0.27
63,61,0.24
35,35,0.1
76,74,0.09
93,61,0.13
372,354,-0.12
223,234,0.14
497,466,0.1
472,456,0.11
422,137,-0.3
3750,3650,-0.12
97,82,-0.14
2486,2479,-0.15
2391,2563,-0.09
2435,2520,-0.15
42,73,0.18
314,365,0.31
971,1078,0.41
118,137,0.45
206,207,0.21
3688,3688,-0.08
6052,6052,-0.03
6689,6689,0.22
1733,1733,0
1550,1550,0.07
967,967,0.18
82,61,-0.2
41053,38439,-0.12
41279,38855,-0.24
42817,40938,-0.26
1027,1028,0.06
379,338,0
379,338,0
379,383,0
379,383,0
379,383,0
379,338,0
379,338,0
192,156,0.29
31,11,0.05
91,95,0.33
12,12,-0.7
52228,52150,-0.02
49851,50184,-0.06
55384,54309,0
675,654,0.16
790,706,0.06
859,900,-0.06
355,658,0.16
92,75,-0.13
104,80,-0.39
76,77,0.08
122,144,0.15
674,690,0.05
266,240,0.04
268,240,0.12
245,261,-0.03
57,50,-0.04
22531,22313,-0.26
21622,21076,-0.01
23390,22513,-0.29
25559,24370,-0.04
18778,19627,-0.02
546,621,0.01
294,329,-0.09
95168,97366,0.03
63,60,-0.21
87,67,0.33
74,75,0.3
871,867,-0.1
783,761,0.06
691,750,-0.17
282,282,-0.23
301,302,-0.15
99,103,-0.06
48,48,-0.42
14,13,0.86
