56,57,0
36,19,-0.53
20,20,-0.94
81,84,0.28
13,13,-0.65
20,19,0.52
24,24,-0.2
5,5,-1.15
30,30,-1.27
26,26,0
108,18,-0.28
24,24,0.05
14,14,-1.25
15,14,-0.77
15,14,-0.69
42,42,-0.73
30,15,-0.67
32,32,-0.44
17,20,-0.08
18,15,-0.65
32,32,-0.5
6,6,-1.17
27,27,-0.97
20,20,-0.72
40,40,-1.92
20,20,-0.66
5,5,-0.11
21,10,-0.36
26,26,-0.08
15,15,-0.96
10,11,-1.22
33,31,0
32,32,-0.43
10,10,0
10,10,0.12
27,27,-0.16
30,30,0.77
30,30,-0.11
16,16,-0.82
40,20,-0.18
52,14,-0.65
12,12,-0.68
16,16,-0.35
85,15,-0.41
20,20,0.06
21,27,-0.75
20,20,-0.79
26,26,-1.31
34,33,0.14
20,20,0.29
20,10,0
30,30,-0.31
24,24,-0.31
23,23,-0.34
60,60,-0.4
